FIPS,Name,have_mentalhealth,have_no_mentalhealth,no_internet,internet,year
1,Alabama,2260,4311,1789,4858,2017
2,Alaska,987,2129,461,2713,2017
4,Arizona,4755,10514,2346,12938,2017
5,Arkansas,1604,3631,1598,3665,2017
6,California,3268,5999,1256,7894,2017
8,Colorado,3373,6278,1034,8667,2017
9,Connecticut,3146,7288,1436,9002,2017
10,Delaware,1216,2846,804,3287,2017
11,District of Columbia,1258,2533,688,3156,2017
12,Florida,6684,14953,4616,17031,2017
13,Georgia,1753,4205,1354,4565,2017
15,Hawaii,2396,5318,1222,6372,2017
16,Idaho,1634,3174,763,4094,2017
17,Illinois,1946,3560,954,4518,2017
18,Indiana,4716,8853,2838,10802,2017
19,Iowa,2267,5340,1274,6360,2017
20,Kansas,6494,14941,3089,18236,2017
21,Kentucky,2987,5539,1921,6655,2017
22,Louisiana,1743,2972,1031,3661,2017
23,Maine,3304,6252,1450,8182,2017
24,Maryland,4055,9315,2180,11240,2017
25,Massachusetts,2394,4365,977,5863,2017
26,Michigan,3874,6885,1690,9068,2017
27,Minnesota,4988,11882,2489,14463,2017
28,Mississippi,1660,3284,1471,3491,2017
29,Missouri,2331,5170,1649,5885,2017
30,Montana,1708,4113,1233,4658,2017
31,Nebraska,4399,10780,3091,12098,2017
32,Nevada,1211,2510,617,3121,2017
33,New Hampshire,1750,3924,781,4893,2017
34,New Jersey,3509,7995,2097,9503,2017
35,New Mexico,2184,4286,1606,4823,2017
36,New York,4123,7842,2268,9702,2017
37,North Carolina,1533,3315,997,3847,2017
38,North Dakota,1999,4889,1348,5517,2017
39,Ohio,3919,8152,2614,9561,2017
40,Oklahoma,2056,4432,1404,5165,2017
41,Oregon,2049,3226,591,4734,2017
42,Pennsylvania,2407,4070,1094,5398,2017
44,Rhode Island,1839,3735,910,4656,2017
45,South Carolina,3521,7506,2863,8334,2017
46,South Dakota,1830,5080,1491,5472,2017
47,Tennessee,1937,3767,1302,4466,2017
48,Texas,3693,8319,2638,9463,2017
49,Utah,3771,6344,1026,9158,2017
50,Vermont,2144,4299,951,5490,2017
51,Virginia,2847,6619,1597,7939,2017
53,Washington,4567,8485,1680,11442,2017
54,West Virginia,1865,3529,1361,4077,2017
55,Wisconsin,1957,3804,860,4837,2017
56,Wyoming,1279,3138,738,3704,2017
66,Guam,497,998,316,1174,2017
72,Puerto Rico,992,3440,1805,2666,2017
1,Alabama,2452,4415,1850,5094,2016
2,Alaska,949,1893,396,2485,2016
4,Arizona,3158,7643,2071,8754,2016
5,Arkansas,1600,3596,1593,3660,2016
6,California,3951,7355,1733,9291,2016
8,Colorado,4918,9801,1958,12621,2016
9,Connecticut,3358,7525,1825,9079,2016
10,Delaware,1098,2883,814,3209,2016
11,District of Columbia,1224,2545,647,3179,2016
12,Florida,10026,26139,8239,28021,2016
13,Georgia,1511,3764,1306,3985,2016
15,Hawaii,2388,5648,1523,6472,2016
16,Idaho,1711,3437,956,4235,2016
17,Illinois,1588,3126,852,3856,2016
18,Indiana,3468,7395,2577,8370,2016
19,Iowa,1916,5233,1442,5734,2016
20,Kansas,3342,8613,1933,9975,2016
21,Kentucky,3236,6872,2247,7941,2016
22,Louisiana,1743,3416,1473,3728,2016
23,Maine,3315,6558,1616,8338,2016
24,Maryland,5588,12647,3123,15132,2016
25,Massachusetts,2853,5347,1298,7025,2016
26,Michigan,4091,7777,2035,9882,2016
27,Minnesota,4923,11677,2331,14361,2016
28,Mississippi,1456,3516,1669,3413,2016
29,Missouri,2162,4845,1674,5392,2016
30,Montana,1640,4240,1328,4597,2016
31,Nebraska,4224,10811,3093,11960,2016
32,Nevada,1483,2791,701,3608,2016
33,New Hampshire,1884,4454,928,5427,2016
34,New Jersey,2131,5375,1383,6124,2016
35,New Mexico,1849,4105,1482,4424,2016
36,New York,10926,22579,6923,26437,2016
37,North Carolina,1986,4460,1427,5037,2016
38,North Dakota,1553,4100,1138,4513,2016
39,Ohio,3671,8532,2807,9495,2016
40,Oklahoma,2054,4727,1530,5332,2016
41,Oregon,2073,3256,643,4736,2016
42,Pennsylvania,2462,4267,1135,5614,2016
44,Rhode Island,1785,3589,969,4426,2016
45,South Carolina,3561,7479,2898,8246,2016
46,South Dakota,1480,4204,1129,4601,2016
47,Tennessee,1991,4047,1519,4570,2016
48,Texas,3283,8186,2486,9078,2016
49,Utah,3891,6938,1259,9649,2016
50,Vermont,2141,4312,1015,5467,2016
51,Virginia,2612,6250,1631,7288,2016
53,Washington,4815,9268,1871,12268,2016
54,West Virginia,2362,4676,1742,5355,2016
55,Wisconsin,1683,3545,902,4225,2016
56,Wyoming,1207,3232,845,3627,2016
66,Guam,472,1095,345,1216,2016
72,Puerto Rico,1297,4416,2456,3317,2016
1,Alabama,2579,5206,2297,5551,2015
2,Alaska,1196,2372,516,3117,2015
4,Arizona,2366,5425,1481,6367,2015
5,Arkansas,1545,3574,1769,3421,2015
6,California,4477,8022,2089,10236,2015
8,Colorado,4322,8977,1871,11223,2015
9,Connecticut,3789,7943,2342,9449,2015
10,Delaware,1154,2844,897,3132,2015
11,District of Columbia,1109,2804,883,3060,2015
12,Florida,2894,6607,1901,7681,2015
13,Georgia,1352,3225,1134,3458,2015
15,Hawaii,2037,5085,1328,5728,2015
16,Idaho,1860,3840,1087,4641,2015
17,Illinois,1888,3346,1045,4195,2015
18,Indiana,1939,4011,1396,4590,2015
19,Iowa,1687,4442,1334,4799,2015
20,Kansas,6212,16644,4132,18574,2015
21,Kentucky,2787,5864,2223,6510,2015
22,Louisiana,1529,3102,1402,3222,2015
23,Maine,2908,5996,1582,7422,2015
24,Maryland,3577,8805,2421,10002,2015
25,Massachusetts,3149,5935,1572,7503,2015
26,Michigan,3000,5834,1497,7350,2015
27,Minnesota,4725,11805,2567,14091,2015
28,Mississippi,1642,4287,2306,3653,2015
29,Missouri,2201,4989,1862,5397,2015
30,Montana,1639,4321,1445,4559,2015
31,Nebraska,4588,12781,3745,13667,2015
32,Nevada,986,1885,494,2411,2015
33,New Hampshire,2007,4893,1126,5822,2015
34,New Jersey,3200,8032,2025,9239,2015
35,New Mexico,2062,4589,1769,4856,2015
36,New York,4015,8021,2609,9492,2015
37,North Carolina,1970,4638,1520,5102,2015
38,North Dakota,1363,3519,1085,3824,2015
39,Ohio,3558,8143,3069,8751,2015
40,Oklahoma,2025,4816,1840,5051,2015
41,Oregon,1936,3304,791,4507,2015
42,Pennsylvania,1897,3749,1187,4505,2015
44,Rhode Island,1960,4107,1282,4856,2015
45,South Carolina,3602,7746,2971,8533,2015
46,South Dakota,1792,5327,1668,5513,2015
47,Tennessee,1842,4024,1689,4188,2015
48,Texas,3943,10420,3601,10869,2015
49,Utah,4079,7167,1227,10054,2015
50,Vermont,1962,4430,1033,5404,2015
51,Virginia,2327,6169,1573,7001,2015
53,Washington,5236,10650,2349,13647,2015
54,West Virginia,1880,3982,1564,4343,2015
55,Wisconsin,1975,4160,1201,4930,2015
56,Wyoming,1505,3893,1255,4176,2015
66,Guam,520,1143,369,1280,2015
72,Puerto Rico,1179,4183,2538,2839,2015
1,Alabama,2906,5568,2771,5756,2014
2,Alaska,1358,2933,531,3775,2014
4,Arizona,4180,10453,2879,11540,2014
5,Arkansas,1559,3566,1711,3364,2014
6,California,2987,5771,1536,6815,2014
8,Colorado,4134,9053,2146,11033,2014
9,Connecticut,2428,5410,1403,6243,2014
10,Delaware,1162,3041,1002,3219,2014
11,District of Columbia,1099,2894,831,3138,2014
12,Florida,2773,6771,1930,7544,2014
13,Georgia,1974,4267,1516,4586,2014
15,Hawaii,2017,5176,1478,5592,2014
16,Idaho,1744,3622,1075,4268,2014
17,Illinois,1732,3279,969,3947,2014
18,Indiana,3657,7599,2808,8440,2014
19,Iowa,2196,5811,1826,6175,2014
20,Kansas,3650,9850,2568,10916,2014
21,Kentucky,3417,7605,3107,7890,2014
22,Louisiana,2115,4529,1835,4809,2014
23,Maine,2983,5963,1711,7234,2014
24,Maryland,3672,8686,2453,9867,2014
25,Massachusetts,4915,10416,3121,12027,2014
26,Michigan,2749,5587,1627,6742,2014
27,Minnesota,4638,11551,2508,13634,2014
28,Mississippi,1131,2993,1589,2548,2014
29,Missouri,2049,4921,2013,4950,2014
30,Montana,2078,5283,1855,5540,2014
31,Nebraska,5764,16368,5264,16822,2014
32,Nevada,1230,2458,674,3032,2014
33,New Hampshire,1768,4323,1010,4973,2014
34,New Jersey,3795,9000,2482,10041,2014
35,New Mexico,2626,6206,2360,6249,2014
36,New York,2200,4473,1486,5107,2014
37,North Carolina,2068,5114,1875,5238,2014
38,North Dakota,2034,5601,1709,5895,2014
39,Ohio,3504,7204,2784,7982,2014
40,Oklahoma,2538,5800,2241,6087,2014
41,Oregon,1824,3313,816,4303,2014
42,Pennsylvania,3461,7283,2789,7954,2014
44,Rhode Island,1947,4396,1292,4959,2014
45,South Carolina,3393,7406,3082,7777,2014
46,South Dakota,1772,5532,1730,5586,2014
47,Tennessee,1555,3477,1568,3418,2014
48,Texas,3993,11016,3599,11378,2014
49,Utah,5187,9665,1860,12872,2014
50,Vermont,2044,4357,961,5335,2014
51,Virginia,2467,6845,1896,7403,2014
53,Washington,3254,6710,1556,8355,2014
54,West Virginia,1948,4149,1809,4326,2014
55,Wisconsin,2169,4826,1473,5403,2014
56,Wyoming,1671,4633,1530,4680,2014
66,Guam,798,1699,512,1926,2014
72,Puerto Rico,1258,4679,2912,3017,2014
1,Alabama,2131,4203,2353,4131,2013
2,Alaska,1426,3079,629,3942,2013
4,Arizona,1314,2866,1020,3211,2013
5,Arkansas,1616,3523,1806,3445,2013
6,California,4090,7320,2376,8668,2013
8,Colorado,4262,9191,2219,11270,2013
9,Connecticut,2456,5136,1540,6143,2013
10,Delaware,1573,3561,1188,3936,2013
11,District of Columbia,1405,3427,1063,3844,2013
12,Florida,10129,23098,8892,24919,2013
13,Georgia,2383,5599,2027,5871,2013
15,Hawaii,2121,5662,1653,6190,2013
16,Idaho,1823,3700,1206,4410,2013
17,Illinois,1904,3660,1281,4317,2013
18,Indiana,3253,6835,2726,7571,2013
19,Iowa,2139,5919,2048,6090,2013
20,Kansas,6341,16631,4963,18268,2013
21,Kentucky,3734,7117,3198,7600,2013
22,Louisiana,1557,3590,1647,3587,2013
23,Maine,2556,5394,1682,6397,2013
24,Maryland,3794,8985,2622,10169,2013
25,Massachusetts,5097,9695,3367,11278,2013
26,Michigan,4171,8430,2737,9961,2013
27,Minnesota,4067,10091,2582,11499,2013
28,Mississippi,2117,5181,3076,4295,2013
29,Missouri,2127,4901,2200,4907,2013
30,Montana,2912,6654,2475,7190,2013
31,Nebraska,4516,12373,4405,12536,2013
32,Nevada,1662,3341,945,4140,2013
33,New Hampshire,1891,4487,1114,5320,2013
34,New Jersey,3991,9005,2647,10256,2013
35,New Mexico,2800,6364,2704,6597,2013
36,New York,2912,5818,2130,6809,2013
37,North Carolina,2507,6195,2697,6141,2013
38,North Dakota,2111,5506,1837,5951,2013
39,Ohio,3620,8131,2980,8765,2013
40,Oklahoma,2502,5612,2387,5838,2013
41,Oregon,2149,3712,971,4963,2013
42,Pennsylvania,3683,7510,3171,8216,2013
44,Rhode Island,2058,4370,1415,5091,2013
45,South Carolina,3218,7283,3197,7484,2013
46,South Dakota,1717,5101,1704,5166,2013
47,Tennessee,1622,4081,1725,3910,2013
48,Texas,2805,7799,3039,7835,2013
49,Utah,4544,8047,1836,10886,2013
50,Vermont,2004,4299,1313,5059,2013
51,Virginia,2403,5908,1924,6349,2013
53,Washington,3742,7276,1827,9305,2013
54,West Virginia,1835,3963,1934,3956,2013
55,Wisconsin,2096,4429,1506,4897,2013
56,Wyoming,1744,4612,1607,4807,2013
66,Guam,616,1263,478,1414,2013
72,Puerto Rico,1402,4557,3208,2790,2013
1,Alabama,3217,5606,-1,-1,2012
2,Alaska,1250,3005,-1,-1,2012
4,Arizona,2281,4907,-1,-1,2012
5,Arkansas,1755,3305,-1,-1,2012
6,California,5223,9272,-1,-1,2012
8,Colorado,3921,8180,-1,-1,2012
9,Connecticut,2873,5759,-1,-1,2012
10,Delaware,1581,3561,-1,-1,2012
11,District of Columbia,1164,2576,-1,-1,2012
12,Florida,2421,4993,-1,-1,2012
13,Georgia,1802,4194,-1,-1,2012
15,Hawaii,2174,5326,-1,-1,2012
16,Idaho,1933,3836,-1,-1,2012
17,Illinois,1923,3631,-1,-1,2012
18,Indiana,3049,5413,-1,-1,2012
19,Iowa,1943,5129,-1,-1,2012
20,Kansas,3168,8465,-1,-1,2012
21,Kentucky,3888,7110,-1,-1,2012
22,Louisiana,2700,6234,-1,-1,2012
23,Maine,3352,6407,-1,-1,2012
24,Maryland,3715,8834,-1,-1,2012
25,Massachusetts,7228,14121,-1,-1,2012
26,Michigan,3536,6842,-1,-1,2012
27,Minnesota,3634,8444,-1,-1,2012
28,Mississippi,2245,5376,-1,-1,2012
29,Missouri,2040,4609,-1,-1,2012
30,Montana,2710,5824,-1,-1,2012
31,Nebraska,5412,13523,-1,-1,2012
32,Nevada,1658,3101,-1,-1,2012
33,New Hampshire,2319,5105,-1,-1,2012
34,New Jersey,4574,10828,-1,-1,2012
35,New Mexico,2870,5804,-1,-1,2012
36,New York,2135,3765,-1,-1,2012
37,North Carolina,3504,8178,-1,-1,2012
38,North Dakota,1387,3389,-1,-1,2012
39,Ohio,4120,8667,-1,-1,2012
40,Oklahoma,2529,5378,-1,-1,2012
41,Oregon,1834,3362,-1,-1,2012
42,Pennsylvania,6351,13185,-1,-1,2012
44,Rhode Island,1860,3531,-1,-1,2012
45,South Carolina,3946,8552,-1,-1,2012
46,South Dakota,2006,5743,-1,-1,2012
47,Tennessee,1932,4976,-1,-1,2012
48,Texas,2853,6080,-1,-1,2012
49,Utah,4266,7952,-1,-1,2012
50,Vermont,1969,4005,-1,-1,2012
51,Virginia,2005,5241,-1,-1,2012
53,Washington,5249,9875,-1,-1,2012
54,West Virginia,1677,3649,-1,-1,2012
55,Wisconsin,1655,3582,-1,-1,2012
56,Wyoming,1776,4401,-1,-1,2012
66,Guam,560,1429,-1,-1,2012
72,Puerto Rico,1353,4883,-1,-1,2012
1,Alabama,2592,4967,-1,-1,2011
2,Alaska,1079,2343,-1,-1,2011
4,Arizona,2106,4305,-1,-1,2011
5,Arkansas,1526,3091,-1,-1,2011
6,California,6449,11453,-1,-1,2011
8,Colorado,4103,9255,-1,-1,2011
9,Connecticut,2246,4497,-1,-1,2011
10,Delaware,1391,3357,-1,-1,2011
11,District of Columbia,1417,3077,-1,-1,2011
12,Florida,3909,8113,-1,-1,2011
13,Georgia,2849,6818,-1,-1,2011
15,Hawaii,2081,5453,-1,-1,2011
16,Idaho,1990,3990,-1,-1,2011
17,Illinois,1973,3465,-1,-1,2011
18,Indiana,2786,5463,-1,-1,2011
19,Iowa,1922,5323,-1,-1,2011
20,Kansas,5755,14666,-1,-1,2011
21,Kentucky,3676,6985,-1,-1,2011
22,Louisiana,3372,7387,-1,-1,2011
23,Maine,4407,8572,-1,-1,2011
24,Maryland,2903,7032,-1,-1,2011
25,Massachusetts,6998,14751,-1,-1,2011
26,Michigan,3633,7282,-1,-1,2011
27,Minnesota,4671,10389,-1,-1,2011
28,Mississippi,2687,6067,-1,-1,2011
29,Missouri,1882,4420,-1,-1,2011
30,Montana,3240,6842,-1,-1,2011
31,Nebraska,7425,17611,-1,-1,2011
32,Nevada,1731,3675,-1,-1,2011
33,New Hampshire,2001,4260,-1,-1,2011
34,New Jersey,4553,10180,-1,-1,2011
35,New Mexico,2962,6320,-1,-1,2011
36,New York,2602,4900,-1,-1,2011
37,North Carolina,3299,8019,-1,-1,2011
38,North Dakota,1528,3666,-1,-1,2011
39,Ohio,3175,6567,-1,-1,2011
40,Oklahoma,2807,5579,-1,-1,2011
41,Oregon,2038,4085,-1,-1,2011
42,Pennsylvania,3895,7339,-1,-1,2011
44,Rhode Island,2226,4212,-1,-1,2011
45,South Carolina,3934,8653,-1,-1,2011
46,South Dakota,2074,6055,-1,-1,2011
47,Tennessee,1445,4342,-1,-1,2011
48,Texas,4484,10044,-1,-1,2011
49,Utah,4418,8052,-1,-1,2011
50,Vermont,2318,4656,-1,-1,2011
51,Virginia,1832,4615,-1,-1,2011
53,Washington,4592,9951,-1,-1,2011
54,West Virginia,1693,3503,-1,-1,2011
55,Wisconsin,1628,3611,-1,-1,2011
56,Wyoming,2161,4587,-1,-1,2011
66,Guam,462,1395,-1,-1,2011
72,Puerto Rico,1463,5073,-1,-1,2011
1,Alabama,2385,5102,-1,-1,2010
2,Alaska,603,1287,-1,-1,2010
4,Arizona,1805,3884,-1,-1,2010
5,Arkansas,1219,2701,-1,-1,2010
6,California,6333,11327,-1,-1,2010
8,Colorado,3613,7883,-1,-1,2010
9,Connecticut,2125,4553,-1,-1,2010
10,Delaware,1253,2952,-1,-1,2010
11,District of Columbia,1181,2732,-1,-1,2010
12,Florida,10839,23358,-1,-1,2010
13,Georgia,1631,4026,-1,-1,2010
15,Hawaii,1716,4777,-1,-1,2010
16,Idaho,2232,4643,-1,-1,2010
17,Illinois,1930,3244,-1,-1,2010
18,Indiana,3378,6626,-1,-1,2010
19,Iowa,1551,4456,-1,-1,2010
20,Kansas,2317,6135,-1,-1,2010
21,Kentucky,2811,5111,-1,-1,2010
22,Louisiana,2126,4795,-1,-1,2010
23,Maine,2588,5394,-1,-1,2010
24,Maryland,2608,6313,-1,-1,2010
25,Massachusetts,4862,11103,-1,-1,2010
26,Michigan,2885,5871,-1,-1,2010
27,Minnesota,2408,6344,-1,-1,2010
28,Mississippi,2377,5553,-1,-1,2010
29,Missouri,1658,3690,-1,-1,2010
30,Montana,2332,4846,-1,-1,2010
31,Nebraska,4594,11511,-1,-1,2010
32,Nevada,1265,2615,-1,-1,2010
33,New Hampshire,1803,4175,-1,-1,2010
34,New Jersey,3653,8360,-1,-1,2010
35,New Mexico,2203,4694,-1,-1,2010
36,New York,2948,5762,-1,-1,2010
37,North Carolina,3459,8477,-1,-1,2010
38,North Dakota,1287,3388,-1,-1,2010
39,Ohio,3169,6492,-1,-1,2010
40,Oklahoma,2442,5167,-1,-1,2010
41,Oregon,1634,3344,-1,-1,2010
42,Pennsylvania,3565,7436,-1,-1,2010
44,Rhode Island,2157,4365,-1,-1,2010
45,South Carolina,2710,6431,-1,-1,2010
46,South Dakota,1554,5054,-1,-1,2010
47,Tennessee,1345,4320,-1,-1,2010
48,Texas,5660,11791,-1,-1,2010
49,Utah,3424,6573,-1,-1,2010
50,Vermont,2225,4456,-1,-1,2010
51,Virginia,1472,3802,-1,-1,2010
53,Washington,6051,13282,-1,-1,2010
54,West Virginia,1373,2965,-1,-1,2010
55,Wisconsin,1514,3210,-1,-1,2010
56,Wyoming,1787,3950,-1,-1,2010
66,Guam,172,593,-1,-1,2010
72,Puerto Rico,771,2704,-1,-1,2010
1,Alabama,2153,4463,-1,-1,2009
2,Alaska,738,1625,-1,-1,2009
4,Arizona,1736,3667,-1,-1,2009
5,Arkansas,1207,2697,-1,-1,2009
6,California,6092,11224,-1,-1,2009
8,Colorado,3605,8163,-1,-1,2009
9,Connecticut,1968,4446,-1,-1,2009
10,Delaware,1293,3022,-1,-1,2009
11,District of Columbia,1202,2642,-1,-1,2009
12,Florida,3134,8619,-1,-1,2009
13,Georgia,1538,4223,-1,-1,2009
15,Hawaii,1862,4780,-1,-1,2009
16,Idaho,1661,3654,-1,-1,2009
17,Illinois,2067,3752,-1,-1,2009
18,Indiana,3023,6071,-1,-1,2009
19,Iowa,1545,4396,-1,-1,2009
20,Kansas,5216,13486,-1,-1,2009
21,Kentucky,3410,6126,-1,-1,2009
22,Louisiana,2501,6264,-1,-1,2009
23,Maine,2598,5344,-1,-1,2009
24,Maryland,2603,5837,-1,-1,2009
25,Massachusetts,5276,11121,-1,-1,2009
26,Michigan,2974,6129,-1,-1,2009
27,Minnesota,1602,3981,-1,-1,2009
28,Mississippi,3293,7704,-1,-1,2009
29,Missouri,1647,3353,-1,-1,2009
30,Montana,2352,5154,-1,-1,2009
31,Nebraska,4298,11435,-1,-1,2009
32,Nevada,1268,2523,-1,-1,2009
33,New Hampshire,1862,4069,-1,-1,2009
34,New Jersey,3640,8385,-1,-1,2009
35,New Mexico,2850,5865,-1,-1,2009
36,New York,2224,4562,-1,-1,2009
37,North Carolina,4026,9042,-1,-1,2009
38,North Dakota,1274,3424,-1,-1,2009
39,Ohio,3131,6519,-1,-1,2009
40,Oklahoma,2527,5197,-1,-1,2009
41,Oregon,1245,2993,-1,-1,2009
42,Pennsylvania,2834,6169,-1,-1,2009
44,Rhode Island,2010,4213,-1,-1,2009
45,South Carolina,2811,6757,-1,-1,2009
46,South Dakota,1669,5070,-1,-1,2009
47,Tennessee,1388,4122,-1,-1,2009
48,Texas,3633,7748,-1,-1,2009
49,Utah,3527,6470,-1,-1,2009
50,Vermont,2165,4398,-1,-1,2009
51,Virginia,1375,3703,-1,-1,2009
53,Washington,6290,13728,-1,-1,2009
54,West Virginia,1326,3435,-1,-1,2009
55,Wisconsin,1456,3061,-1,-1,2009
56,Wyoming,1817,4148,-1,-1,2009
66,Guam,261,986,-1,-1,2009
72,Puerto Rico,920,3216,-1,-1,2009
1,Alabama,2217,4117,-1,-1,2008
2,Alaska,830,1736,-1,-1,2008
4,Arizona,1871,4204,-1,-1,2008
5,Arkansas,1680,3892,-1,-1,2008
6,California,4163,7332,-1,-1,2008
8,Colorado,3636,7960,-1,-1,2008
9,Connecticut,1948,4128,-1,-1,2008
10,Delaware,1187,2799,-1,-1,2008
11,District of Columbia,1326,2846,-1,-1,2008
12,Florida,2975,7660,-1,-1,2008
13,Georgia,1679,3928,-1,-1,2008
15,Hawaii,1966,4421,-1,-1,2008
16,Idaho,1691,3341,-1,-1,2008
17,Illinois,1843,3289,-1,-1,2008
18,Indiana,1574,3240,-1,-1,2008
19,Iowa,1659,4227,-1,-1,2008
20,Kansas,2257,6252,-1,-1,2008
21,Kentucky,2966,5040,-1,-1,2008
22,Louisiana,1518,4565,-1,-1,2008
23,Maine,2171,4542,-1,-1,2008
24,Maryland,3195,6175,-1,-1,2008
25,Massachusetts,6642,13575,-1,-1,2008
26,Michigan,3120,6198,-1,-1,2008
27,Minnesota,1207,3068,-1,-1,2008
28,Mississippi,2425,5361,-1,-1,2008
29,Missouri,1689,3391,-1,-1,2008
30,Montana,2124,4608,-1,-1,2008
31,Nebraska,4254,11782,-1,-1,2008
32,Nevada,1690,3032,-1,-1,2008
33,New Hampshire,2211,4591,-1,-1,2008
34,New Jersey,3344,8184,-1,-1,2008
35,New Mexico,1994,4168,-1,-1,2008
36,New York,2541,5213,-1,-1,2008
37,North Carolina,4772,10787,-1,-1,2008
38,North Dakota,1353,3589,-1,-1,2008
39,Ohio,4280,8495,-1,-1,2008
40,Oklahoma,2499,5179,-1,-1,2008
41,Oregon,1417,3329,-1,-1,2008
42,Pennsylvania,4219,8720,-1,-1,2008
44,Rhode Island,1583,3146,-1,-1,2008
45,South Carolina,3045,6867,-1,-1,2008
46,South Dakota,1779,5118,-1,-1,2008
47,Tennessee,1337,3613,-1,-1,2008
48,Texas,3175,7397,-1,-1,2008
49,Utah,1936,3318,-1,-1,2008
50,Vermont,2214,4409,-1,-1,2008
51,Virginia,1596,3634,-1,-1,2008
53,Washington,7099,15149,-1,-1,2008
54,West Virginia,1264,2828,-1,-1,2008
55,Wisconsin,2343,4673,-1,-1,2008
56,Wyoming,2468,5412,-1,-1,2008
66,Guam,221,563,-1,-1,2008
72,Puerto Rico,1140,3246,-1,-1,2008
1,Alabama,2342,4721,-1,-1,2007
2,Alaska,821,1629,-1,-1,2007
4,Arizona,1522,3135,-1,-1,2007
5,Arkansas,1780,3808,-1,-1,2007
6,California,2065,3599,-1,-1,2007
8,Colorado,3804,7957,-1,-1,2007
9,Connecticut,2334,5086,-1,-1,2007
10,Delaware,1306,2666,-1,-1,2007
11,District of Columbia,1256,2657,-1,-1,2007
12,Florida,10994,27692,-1,-1,2007
13,Georgia,2469,5079,-1,-1,2007
15,Hawaii,1938,4608,-1,-1,2007
16,Idaho,1739,3495,-1,-1,2007
17,Illinois,1835,3366,-1,-1,2007
18,Indiana,1958,3931,-1,-1,2007
19,Iowa,1388,3947,-1,-1,2007
20,Kansas,2221,6152,-1,-1,2007
21,Kentucky,1909,4821,-1,-1,2007
22,Louisiana,1514,4965,-1,-1,2007
23,Maine,2176,4544,-1,-1,2007
24,Maryland,2848,5856,-1,-1,2007
25,Massachusetts,6914,14284,-1,-1,2007
26,Michigan,2616,4762,-1,-1,2007
27,Minnesota,1345,3413,-1,-1,2007
28,Mississippi,2447,5195,-1,-1,2007
29,Missouri,1750,3456,-1,-1,2007
30,Montana,1919,3992,-1,-1,2007
31,Nebraska,2856,7922,-1,-1,2007
32,Nevada,1533,2549,-1,-1,2007
33,New Hampshire,1940,3973,-1,-1,2007
34,New Jersey,2278,4851,-1,-1,2007
35,New Mexico,2112,4407,-1,-1,2007
36,New York,2087,4305,-1,-1,2007
37,North Carolina,4316,10194,-1,-1,2007
38,North Dakota,1318,3338,-1,-1,2007
39,Ohio,3749,7271,-1,-1,2007
40,Oklahoma,2305,5012,-1,-1,2007
41,Oregon,1519,3371,-1,-1,2007
42,Pennsylvania,4220,8754,-1,-1,2007
44,Rhode Island,1464,2970,-1,-1,2007
45,South Carolina,3100,7042,-1,-1,2007
46,South Dakota,1716,5034,-1,-1,2007
47,Tennessee,1301,3652,-1,-1,2007
48,Texas,5161,11750,-1,-1,2007
49,Utah,1750,3216,-1,-1,2007
50,Vermont,2178,4654,-1,-1,2007
51,Virginia,1861,4245,-1,-1,2007
53,Washington,8381,17165,-1,-1,2007
54,West Virginia,1285,3101,-1,-1,2007
55,Wisconsin,2306,5063,-1,-1,2007
56,Wyoming,1968,4098,-1,-1,2007
66,Guam,170,473,-1,-1,2007
72,Puerto Rico,1031,2801,-1,-1,2007
