FIPS,Name,have_mentalhealth,have_no_mentalhealth,have_no_alcohol,have_alcohol,no_smoker,smoker,year
1,Alabama,2260,4311,3924,2356,5329,1143,2017
2,Alaska,987,2129,1328,1673,2545,539,2017
4,Arizona,4755,10514,6856,7465,12793,1977,2017
5,Arkansas,1604,3631,3314,1684,4291,809,2017
6,California,3268,5999,3504,5004,7763,954,2017
8,Colorado,3373,6278,3369,5345,7817,1113,2017
9,Connecticut,3146,7288,3600,6164,9008,1064,2017
10,Delaware,1216,2846,1857,1973,3365,594,2017
11,District of Columbia,1258,2533,1393,2157,3190,558,2017
12,Florida,6684,14953,10690,9703,17282,3753,2017
13,Georgia,1753,4205,3043,2503,4873,853,2017
15,Hawaii,2396,5318,3430,3850,6532,890,2017
16,Idaho,1634,3174,2610,2061,4173,575,2017
17,Illinois,1946,3560,2172,3082,4652,693,2017
18,Indiana,4716,8853,6809,6136,10950,2311,2017
19,Iowa,2267,5340,3090,4187,6306,1131,2017
20,Kansas,6494,14941,9553,10449,17548,3145,2017
21,Kentucky,2987,5539,5162,2974,6596,1749,2017
22,Louisiana,1743,2972,2244,2144,3630,904,2017
23,Maine,3304,6252,3691,5489,7975,1351,2017
24,Maryland,4055,9315,5650,6815,11429,1515,2017
25,Massachusetts,2394,4365,2440,4013,5901,767,2017
26,Michigan,3874,6885,4425,5948,8848,1652,2017
27,Minnesota,4988,11882,6194,9830,14207,2220,2017
28,Mississippi,1660,3284,3017,1684,3983,835,2017
29,Missouri,2331,5170,3843,3356,6064,1312,2017
30,Montana,1708,4113,2613,3051,4833,953,2017
31,Nebraska,4399,10780,6447,8088,12793,2056,2017
32,Nevada,1211,2510,1658,1928,3077,566,2017
33,New Hampshire,1750,3924,2028,3342,4795,708,2017
34,New Jersey,3509,7995,4708,6213,9807,1414,2017
35,New Mexico,2184,4286,3243,2854,5272,982,2017
36,New York,4123,7842,4741,6402,9983,1572,2017
37,North Carolina,1533,3315,2353,2148,3976,765,2017
38,North Dakota,1999,4889,2718,3893,5695,1047,2017
39,Ohio,3919,8152,6133,5523,9808,2071,2017
40,Oklahoma,2056,4432,3857,2274,5363,1008,2017
41,Oregon,2049,3226,1938,3024,4406,721,2017
42,Pennsylvania,2407,4070,2581,3634,5244,1109,2017
44,Rhode Island,1839,3735,2071,3173,4705,682,2017
45,South Carolina,3521,7506,5927,4671,9276,1620,2017
46,South Dakota,1830,5080,3457,3148,5621,1216,2017
47,Tennessee,1937,3767,3171,2233,4394,1173,2017
48,Texas,3693,8319,6049,5277,10200,1497,2017
49,Utah,3771,6344,7132,2652,9155,816,2017
50,Vermont,2144,4299,2260,3785,5379,839,2017
51,Virginia,2847,6619,4248,4829,7949,1336,2017
53,Washington,4567,8485,5251,7230,11286,1501,2017
54,West Virginia,1865,3529,3497,1803,4189,1184,2017
55,Wisconsin,1957,3804,1846,3583,4704,834,2017
56,Wyoming,1279,3138,2042,2259,3710,653,2017
66,Guam,497,998,794,623,1118,326,2017
72,Puerto Rico,992,3440,3212,1082,4038,410,2017
1,Alabama,2452,4415,4066,2522,5504,1260,2016
2,Alaska,949,1893,1242,1515,2288,523,2016
4,Arizona,3158,7643,5116,5225,9199,1310,2016
5,Arkansas,1600,3596,3394,1652,4258,854,2016
6,California,3951,7355,4502,5720,9289,1139,2016
8,Colorado,4918,9801,5350,8038,11914,1743,2016
9,Connecticut,3358,7525,3909,6528,9485,1150,2016
10,Delaware,1098,2883,1813,1992,3260,646,2016
11,District of Columbia,1224,2545,1448,2036,3181,561,2016
12,Florida,10026,26139,18499,15610,29587,5475,2016
13,Georgia,1511,3764,2843,2190,4336,810,2016
15,Hawaii,2388,5648,3889,3775,6844,934,2016
16,Idaho,1711,3437,2793,2206,4451,627,2016
17,Illinois,1588,3126,1912,2637,3986,623,2016
18,Indiana,3468,7395,5590,4942,8868,1822,2016
19,Iowa,1916,5233,3124,3778,6053,951,2016
20,Kansas,3342,8613,5545,5779,9808,1743,2016
21,Kentucky,3236,6872,6229,3581,7959,2019,2016
22,Louisiana,1743,3416,2743,2156,4136,883,2016
23,Maine,3315,6558,3962,5688,8247,1527,2016
24,Maryland,5588,12647,7759,9323,15432,2131,2016
25,Massachusetts,2853,5347,2944,4788,6913,1048,2016
26,Michigan,4091,7777,4950,6489,9689,1979,2016
27,Minnesota,4923,11677,5823,10116,14037,2214,2016
28,Mississippi,1456,3516,3263,1552,4071,904,2016
29,Missouri,2162,4845,3741,3062,5636,1285,2016
30,Montana,1640,4240,2720,3010,4879,951,2016
31,Nebraska,4224,10811,6389,8245,12599,2191,2016
32,Nevada,1483,2791,1886,2246,3578,641,2016
33,New Hampshire,1884,4454,2350,3748,5370,842,2016
34,New Jersey,2131,5375,3158,3959,6321,977,2016
35,New Mexico,1849,4105,3093,2630,4970,838,2016
36,New York,10926,22579,13695,17893,26997,5228,2016
37,North Carolina,1986,4460,3265,2834,5267,1078,2016
38,North Dakota,1553,4100,2218,3260,4704,838,2016
39,Ohio,3671,8532,6247,5596,9830,2169,2016
40,Oklahoma,2054,4727,4134,2292,5680,1010,2016
41,Oregon,2073,3256,1934,3029,4410,717,2016
42,Pennsylvania,2462,4267,2636,3876,5554,1045,2016
44,Rhode Island,1785,3589,1990,3152,4531,730,2016
45,South Carolina,3561,7479,5862,4749,9151,1703,2016
46,South Dakota,1480,4204,2577,2935,4762,861,2016
47,Tennessee,1991,4047,3505,2277,4726,1178,2016
48,Texas,3283,8186,5818,5121,9712,1459,2016
49,Utah,3891,6938,7698,2785,9834,807,2016
50,Vermont,2141,4312,2289,3921,5421,906,2016
51,Virginia,2612,6250,4211,4355,7465,1262,2016
53,Washington,4815,9268,5636,7987,12229,1603,2016
54,West Virginia,2362,4676,4493,2419,5492,1523,2016
55,Wisconsin,1683,3545,1727,3185,4242,738,2016
56,Wyoming,1207,3232,2171,2170,3769,624,2016
66,Guam,472,1095,882,617,1224,299,2016
72,Puerto Rico,1297,4416,4247,1347,5235,495,2016
1,Alabama,2579,5206,4805,2692,6260,1393,2015
2,Alaska,1196,2372,1628,1838,2912,639,2015
4,Arizona,2366,5425,3776,3654,6709,889,2015
5,Arkansas,1545,3574,3388,1577,4196,846,2015
6,California,4477,8022,5103,6402,10073,1295,2015
8,Colorado,4322,8977,5174,6965,10682,1673,2015
9,Connecticut,3789,7943,4224,6764,9984,1309,2015
10,Delaware,1154,2844,1946,1904,3319,612,2015
11,District of Columbia,1109,2804,1491,2202,3294,488,2015
12,Florida,2894,6607,4233,4793,8035,1218,2015
13,Georgia,1352,3225,2498,1904,3798,663,2015
15,Hawaii,2037,5085,3295,3501,6035,857,2015
16,Idaho,1860,3840,3178,2365,4910,707,2015
17,Illinois,1888,3346,2206,2890,4460,677,2015
18,Indiana,1939,4011,3146,2613,4929,917,2015
19,Iowa,1687,4442,2768,3169,5154,867,2015
20,Kansas,6212,16644,10956,10594,18712,3343,2015
21,Kentucky,2787,5864,5625,2699,6743,1793,2015
22,Louisiana,1529,3102,2507,1845,3684,799,2015
23,Maine,2908,5996,3766,4937,7523,1303,2015
24,Maryland,3577,8805,5594,6204,10623,1396,2015
25,Massachusetts,3149,5935,3433,5035,7520,1221,2015
26,Michigan,3000,5834,3731,4794,7192,1460,2015
27,Minnesota,4725,11805,6153,9842,14034,2293,2015
28,Mississippi,1642,4287,4054,1688,4857,998,2015
29,Missouri,2201,4989,3948,3053,5782,1349,2015
30,Montana,1639,4321,2685,3103,4964,934,2015
31,Nebraska,4588,12781,7638,9177,14595,2484,2015
32,Nevada,986,1885,1320,1479,2405,446,2015
33,New Hampshire,2007,4893,2606,4039,5893,873,2015
34,New Jersey,3200,8032,4713,5977,9511,1448,2015
35,New Mexico,2062,4589,3564,2791,5491,956,2015
36,New York,4015,8021,5100,6311,10109,1574,2015
37,North Carolina,1970,4638,3478,2809,5411,1088,2015
38,North Dakota,1363,3519,1997,2747,4098,725,2015
39,Ohio,3558,8143,6229,5124,9593,1929,2015
40,Oklahoma,2025,4816,4291,2343,5605,1148,2015
41,Oregon,1936,3304,2051,2936,4403,716,2015
42,Pennsylvania,1897,3749,2470,2926,4623,908,2015
44,Rhode Island,1960,4107,2377,3450,5141,778,2015
45,South Carolina,3602,7746,6187,4834,9435,1791,2015
46,South Dakota,1792,5327,3347,3616,5964,1114,2015
47,Tennessee,1842,4024,3718,1878,4604,1105,2015
48,Texas,3943,10420,7669,5962,12099,1817,2015
49,Utah,4079,7167,7918,2975,10145,885,2015
50,Vermont,1962,4430,2405,3765,5399,890,2015
51,Virginia,2327,6169,4021,4210,7124,1247,2015
53,Washington,5236,10650,6426,8880,13718,1843,2015
54,West Virginia,1880,3982,3843,1862,4497,1336,2015
55,Wisconsin,1975,4160,2198,3695,5014,948,2015
56,Wyoming,1505,3893,2674,2537,4508,773,2015
66,Guam,520,1143,896,688,1247,358,2015
72,Puerto Rico,1179,4183,4013,1225,4869,462,2015
1,Alabama,2906,5568,5415,2793,6878,1490,2014
2,Alaska,1358,2933,1798,2328,3477,749,2014
4,Arizona,4180,10453,6823,6928,12191,1811,2014
5,Arkansas,1559,3566,3253,1592,4008,917,2014
6,California,2987,5771,3144,4099,7233,962,2014
8,Colorado,4134,9053,4932,7182,10667,1586,2014
9,Connecticut,2428,5410,2767,4542,6550,897,2014
10,Delaware,1162,3041,2058,2031,3493,655,2014
11,District of Columbia,1099,2894,1468,2277,3348,484,2014
12,Florida,2773,6771,4129,4853,7936,1271,2014
13,Georgia,1974,4267,3315,2525,5109,843,2014
15,Hawaii,2017,5176,3345,3477,5965,925,2014
16,Idaho,1744,3622,2915,2271,4504,753,2014
17,Illinois,1732,3279,2009,2789,4193,651,2014
18,Indiana,3657,7599,6015,4790,9048,1930,2014
19,Iowa,2196,5811,3517,4148,6586,1165,2014
20,Kansas,3650,9850,6645,6320,11127,2036,2014
21,Kentucky,3417,7605,7373,3028,8489,2278,2014
22,Louisiana,2115,4529,3473,2906,5195,1319,2014
23,Maine,2983,5963,3757,4949,7486,1322,2014
24,Maryland,3672,8686,5713,6121,10701,1425,2014
25,Massachusetts,4915,10416,5831,8459,12774,1912,2014
26,Michigan,2749,5587,3637,4516,6936,1295,2014
27,Minnesota,4638,11551,5908,9634,13531,2311,2014
28,Mississippi,1131,2993,2734,1264,3369,704,2014
29,Missouri,2049,4921,4056,2716,5612,1220,2014
30,Montana,2078,5283,3316,3849,6088,1211,2014
31,Nebraska,5764,16368,9559,11888,18480,3249,2014
32,Nevada,1230,2458,1654,1900,3088,563,2014
33,New Hampshire,1768,4323,2327,3437,5003,852,2014
34,New Jersey,3795,9000,5206,6753,10516,1678,2014
35,New Mexico,2626,6206,4589,3665,7043,1322,2014
36,New York,2200,4473,2791,3470,5573,835,2014
37,North Carolina,2068,5114,3882,2922,5817,1165,2014
38,North Dakota,2034,5601,3154,4200,6336,1163,2014
39,Ohio,3504,7204,5674,4813,8782,1834,2014
40,Oklahoma,2538,5800,5102,2962,6767,1427,2014
41,Oregon,1824,3313,2010,2877,4301,667,2014
42,Pennsylvania,3461,7283,4994,5335,8680,1809,2014
44,Rhode Island,1947,4396,2295,3654,5275,822,2014
45,South Carolina,3393,7406,5921,4540,8806,1829,2014
46,South Dakota,1772,5532,3309,3733,6016,1170,2014
47,Tennessee,1555,3477,3141,1626,3882,969,2014
48,Texas,3993,11016,7631,6511,12688,1848,2014
49,Utah,5187,9665,10388,3946,13246,1213,2014
50,Vermont,2044,4357,2171,3897,5301,867,2014
51,Virginia,2467,6845,4552,4406,7643,1457,2014
53,Washington,3254,6710,3891,5751,8586,1141,2014
54,West Virginia,1948,4149,4130,1863,4719,1367,2014
55,Wisconsin,2169,4826,2469,4174,5714,1013,2014
56,Wyoming,1671,4633,3200,2773,5203,875,2014
66,Guam,798,1699,1298,1029,1801,569,2014
72,Puerto Rico,1258,4679,4395,1412,5369,538,2014
1,Alabama,2131,4203,4179,2081,5281,1102,2013
2,Alaska,1426,3079,1991,2404,3553,923,2013
4,Arizona,1314,2866,1997,2037,3489,622,2013
5,Arkansas,1616,3523,3380,1672,4096,1005,2013
6,California,4090,7320,4255,5700,9399,1223,2013
8,Colorado,4262,9191,5075,7535,10943,1831,2013
9,Connecticut,2456,5136,2883,4463,6421,1058,2013
10,Delaware,1573,3561,2295,2672,4210,842,2013
11,District of Columbia,1405,3427,1771,2810,4071,631,2013
12,Florida,10129,23098,17248,15104,27644,5384,2013
13,Georgia,2383,5599,4323,3272,6545,1180,2013
15,Hawaii,2121,5662,3730,3855,6695,981,2013
16,Idaho,1823,3700,3030,2409,4700,791,2013
17,Illinois,1904,3660,2469,2998,4687,839,2013
18,Indiana,3253,6835,5488,4406,8198,1870,2013
19,Iowa,2139,5919,3752,4144,6757,1226,2013
20,Kansas,6341,16631,11601,10865,19026,3865,2013
21,Kentucky,3734,7117,7146,3183,8202,2382,2013
22,Louisiana,1557,3590,2906,2136,4268,894,2013
23,Maine,2556,5394,3421,4447,6707,1255,2013
24,Maryland,3794,8985,5982,6384,10912,1681,2013
25,Massachusetts,5097,9695,5728,8330,12092,2182,2013
26,Michigan,4171,8430,5465,6881,10366,2153,2013
27,Minnesota,4067,10091,5015,8548,11792,2002,2013
28,Mississippi,2117,5181,4961,2147,5888,1355,2013
29,Missouri,2127,4901,4100,2799,5605,1383,2013
30,Montana,2912,6654,4147,5214,7851,1675,2013
31,Nebraska,4516,12373,7731,8782,14134,2553,2013
32,Nevada,1662,3341,2160,2732,4096,888,2013
33,New Hampshire,1891,4487,2400,3779,5444,847,2013
34,New Jersey,3991,9005,5247,7085,10672,1918,2013
35,New Mexico,2800,6364,4840,4090,7553,1543,2013
36,New York,2912,5818,3768,4681,7465,1194,2013
37,North Carolina,2507,6195,5139,3317,7155,1543,2013
38,North Dakota,2111,5506,3168,4337,6319,1336,2013
39,Ohio,3620,8131,5830,5497,9119,2371,2013
40,Oklahoma,2502,5612,5100,2939,6566,1567,2013
41,Oregon,2149,3712,2246,3410,4984,800,2013
42,Pennsylvania,3683,7510,5321,5601,9106,2003,2013
44,Rhode Island,2058,4370,2421,3704,5337,909,2013
45,South Carolina,3218,7283,5745,4559,8687,1794,2013
46,South Dakota,1717,5101,3057,3584,5562,1207,2013
47,Tennessee,1622,4081,3666,1680,4292,1175,2013
48,Texas,2805,7799,5687,4638,9129,1465,2013
49,Utah,4544,8047,8965,3376,11349,1102,2013
50,Vermont,2004,4299,2387,3782,5362,879,2013
51,Virginia,2403,5908,3925,4013,6698,1393,2013
53,Washington,3742,7276,4527,6344,9569,1427,2013
54,West Virginia,1835,3963,3948,1810,4453,1388,2013
55,Wisconsin,2096,4429,2350,3812,5183,1066,2013
56,Wyoming,1744,4612,3246,2980,5342,973,2013
66,Guam,616,1263,1061,736,1401,434,2013
72,Puerto Rico,1402,4557,4344,1518,5464,502,2013
1,Alabama,3217,5606,5800,2863,7270,1643,2012
2,Alaska,1250,3005,1906,2257,3425,842,2012
4,Arizona,2281,4907,3522,3495,6049,1091,2012
5,Arkansas,1755,3305,3284,1721,4062,1017,2012
6,California,5223,9272,5449,7115,12911,1632,2012
8,Colorado,3921,8180,4659,6865,9920,1737,2012
9,Connecticut,2873,5759,3194,5256,7426,1183,2012
10,Delaware,1581,3561,2354,2740,4291,855,2012
11,District of Columbia,1164,2576,1424,2217,3212,508,2012
12,Florida,2421,4993,3596,3727,6342,1123,2012
13,Georgia,1802,4194,3352,2463,4924,970,2012
15,Hawaii,2174,5326,3562,3845,6438,1057,2012
16,Idaho,1933,3836,3273,2457,5001,793,2012
17,Illinois,1923,3631,2457,3027,4734,796,2012
18,Indiana,3049,5413,4636,3757,6750,1761,2012
19,Iowa,1943,5129,3249,3680,5957,1058,2012
20,Kansas,3168,8465,6182,5398,9866,1843,2012
21,Kentucky,3888,7110,7370,3343,8316,2551,2012
22,Louisiana,2700,6234,5544,3253,7291,1706,2012
23,Maine,3352,6407,4134,5574,8208,1602,2012
24,Maryland,3715,8834,5620,6596,10752,1704,2012
25,Massachusetts,7228,14121,8305,12096,17479,3203,2012
26,Michigan,3536,6842,4782,5433,8526,1835,2012
27,Minnesota,3634,8444,4435,7270,9966,1923,2012
28,Mississippi,2245,5376,5303,2267,6278,1422,2012
